transform,assigner,accuracy,imbalance_ratio,gini_coefficient,class_distribution,num_classes,generation_time,assignment_time,classification_time,total_time,value_range,value_std
multi_modal,value,0.905,inf,0.8499000000000001,[   0    1    0  267 1653    3    7   12   12   45],8,0.5228331089019775,0.0006368160247802734,0.718541145324707,1.2420110702514648,8.384683,0.74313885
multi_modal,piecewise,0.8825,1.190580503833516,0.043500000000000094,[ 913 1087],2,0.5131478309631348,0.02312445640563965,0.5445966720581055,1.0808689594268799,2.7979217,0.939664
multi_modal,random_region,0.96,inf,0.8856999999999999,[1919    0    0    8    0   39   28    0    0    6],5,0.5276021957397461,0.023481369018554688,0.6324024200439453,1.183485984802246,2.2485838,0.9629552
multi_modal,step_function,0.855,inf,0.7593,[  1   0   1 917  42  17  23  85 913   1],9,0.5109376907348633,0.0004792213439941406,0.656989574432373,1.1684064865112305,3.1231444,0.88912076
mixture,rank,0.2875,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.5204668045043945,0.0007843971252441406,0.6485881805419922,1.1698393821716309,5.482317,0.8367264
mixture,value,0.7975,705.0,0.7746000000000001,[  31    2    2    3 1410  325   63   85   57   22],10,0.5216813087463379,0.0006015300750732422,0.5723350048065186,1.0946178436279297,24.075123,0.83169097
mixture,piecewise,0.5475,inf,0.7104,[1024    0  309   63    0    0    0  211    0  393],5,0.3448467254638672,0.022953271865844727,0.609947919845581,0.977747917175293,1.8185064,0.80604327
mixture,random_region,0.85,inf,0.7946,[  23    0    9   50   56   34    5  123 1624   76],9,0.5154404640197754,0.02361583709716797,0.5779953002929688,1.117051601409912,6.9480376,0.8311366
mixture,step_function,0.7625,inf,0.7028888888888889,[ 600  162    0   30   82   15 1051   52    8],8,0.5369257926940918,0.0007483959197998047,0.564610481262207,1.1022846698760986,3.3075957,0.74678534
balanced_clusters,rank,0.295,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.9335708618164062,0.0007808208465576172,0.6649413108825684,1.5992929935455322,19.817982,0.55165386
balanced_clusters,value,0.2225,3.1376146788990824,0.20500000000000007,[109 139 245 342 299 213 194 115 152 192],10,0.9387688636779785,0.0005974769592285156,0.7031078338623047,1.6424741744995117,2.2544096,0.16221644
balanced_clusters,piecewise,1.0,inf,0.875,[   0    0    0    0    0    0    0 2000],1,0.8131396770477295,0.02181410789489746,0.11469602584838867,0.9496498107910156,2.6728172,0.89067435
balanced_clusters,random_region,0.83,inf,0.8364,[   0    0 1624   78   22    0  220    0    2   54],6,0.9415578842163086,0.01155853271484375,0.5023958683013916,1.455512285232544,3.0334105,0.8329426
balanced_clusters,step_function,0.8225,1558.0,0.7842,[   1   42   46   40   26   24   49  213 1558    1],10,0.7891097068786621,0.0004940032958984375,0.5621006488800049,1.3517043590545654,3.755846,0.7063804
enhanced_mixture,rank,0.44,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.19655489921569824,0.000812530517578125,0.6472055912017822,0.8445730209350586,3.3143702,0.9768072
enhanced_mixture,value,0.88,1097.0,0.7431,[ 269    1    4   72 1097   13    2    4   45  493],10,0.19078469276428223,0.0003211498260498047,0.5773477554321289,0.7684535980224609,3.3343036,0.9097748
enhanced_mixture,piecewise,0.73,inf,0.6812,[  0   0   6 419 263  31   0 413   0 868],6,0.18230152130126953,0.02365589141845703,0.5837509632110596,0.7897083759307861,2.8256645,0.79466563
enhanced_mixture,random_region,0.74,638.5,0.7414,[   2 1277    2   30    4  119  321   65   19  161],10,0.20562386512756348,0.017717361450195312,0.627281665802002,0.8506228923797607,3.4758554,0.8953271
enhanced_mixture,step_function,0.74,inf,0.6645,[  0 418   0   5 876 321  22   0  81 277],7,0.1953141689300537,0.0006046295166015625,0.594832181930542,0.7907509803771973,2.8012142,0.82447284
explicit_clusters,rank,0.1025,1.0100502512562815,0.0009000000000000341,[201 200 200 200 200 200 200 200 200 199],10,0.011209726333618164,0.00040602684020996094,0.8057711124420166,0.8173868656158447,9.540973,2.8756213
explicit_clusters,value,0.15,3.5247524752475248,0.22840000000000008,[205 356 135 105 199 197 101 143 350 209],10,0.005723476409912109,0.0003333091735839844,0.7779006958007812,0.7839574813842773,9.540973,2.8756213
explicit_clusters,piecewise,0.73,inf,0.8317,[   0    0    0 1444    0    0  127    0    0  429],3,0.007954597473144531,0.01234889030456543,0.7062759399414062,0.7265794277191162,9.540973,2.8756213
explicit_clusters,random_region,0.2075,8.627450980392156,0.3515,[ 91 283 440 116 116 145 401 256  51 101],10,0.0052831172943115234,0.014884710311889648,0.7854611873626709,0.8056290149688721,9.540973,2.8756213
explicit_clusters,step_function,0.1775,334.0,0.28490000000000004,[  1 226 334 238 201 200 212 324 263   1],10,0.007097959518432617,0.0002970695495605469,0.8032591342926025,0.8106541633605957,9.540973,2.8756213
